company,role,city,city_data_points,num_salaries,avg_salary,min_salary,max_salary,median_salary,p25_salary,p75_salary,p90_salary,fixed_pct,variable_pct,min_exp,max_exp,detail_url
Clari,Software Engineer2,All India,13,13,30.7L,27.0L,38.5L,31.0L,30.0L,33.0L,36.4L,,,3,5,https://www.ambitionbox.com/salaries/clari-salaries/software-engineer2
Clari,Software Engineer2,Bengaluru (Karnataka),10,13,30.7L,27.0L,38.5L,31.0L,30.0L,33.0L,36.4L,,,3,5,https://www.ambitionbox.com/salaries/clari-salaries/software-engineer2
Clari,Senior Software Engineer,All India,9,9,43.3L,36.8L,52.3L,41.9L,36.8L,50.6L,52.3L,92%,8%,3,8,https://www.ambitionbox.com/salaries/clari-salaries/senior-soft-engineer
Clari,Senior Software Engineer,Bengaluru (Karnataka),7,9,43.3L,36.8L,52.3L,41.9L,36.8L,50.6L,52.3L,92%,8%,3,8,https://www.ambitionbox.com/salaries/clari-salaries/senior-soft-engineer
Clari,Senior Software Engineer,Nagpur (Maharashtra),2,9,43.3L,36.8L,52.3L,41.9L,36.8L,50.6L,52.3L,92%,8%,3,8,https://www.ambitionbox.com/salaries/clari-salaries/senior-soft-engineer
Clari,Software Engineer,All India,6,6,20.9L,15.7L,29.0L,20.5L,17.0L,26.0L,28.7L,,,0,4,https://www.ambitionbox.com/salaries/clari-salaries/software-engineer
Clari,Software Engineer,Bangalore / Bengaluru (Karnataka),3,6,20.9L,15.7L,29.0L,20.5L,17.0L,26.0L,28.7L,,,0,4,https://www.ambitionbox.com/salaries/clari-salaries/software-engineer
Clari,Software Engineer,Hyderabad / Secunderabad (Telangana),1,6,20.9L,15.7L,29.0L,20.5L,17.0L,26.0L,28.7L,,,0,4,https://www.ambitionbox.com/salaries/clari-salaries/software-engineer
Clari,Staff Software Engineer,All India,5,5,68.6L,49.8L,96.1L,68.0L,42.4L,75.1L,95.0L,95%,5%,9,11,https://www.ambitionbox.com/salaries/clari-salaries/staff-software-engineer
Clari,Staff Software Engineer,Bangalore / Bengaluru (Karnataka),4,5,68.6L,49.8L,96.1L,68.0L,42.4L,75.1L,95.0L,95%,5%,9,11,https://www.ambitionbox.com/salaries/clari-salaries/staff-software-engineer
Clari,Software Developer,All India,3,3,27.7L,27.0L,29.0L,27.0L,27.0L,28.0L,28.6L,,,3,3,https://www.ambitionbox.com/salaries/clari-salaries/software-developer
Clari,Software Developer,Bengaluru (Karnataka),3,3,27.7L,27.0L,29.0L,27.0L,27.0L,28.0L,28.6L,,,3,3,https://www.ambitionbox.com/salaries/clari-salaries/software-developer
Clari,Softwaretest Engineer,All India,3,3,16.3L,15.0L,19.0L,15.0L,15.0L,17.0L,18.2L,,,0,6,https://www.ambitionbox.com/salaries/clari-salaries/softwaretest-engineer
Clari,Softwaretest Engineer,Bangalore / Bengaluru (Karnataka),3,3,16.3L,15.0L,19.0L,15.0L,15.0L,17.0L,18.2L,,,0,6,https://www.ambitionbox.com/salaries/clari-salaries/softwaretest-engineer
Clari,Configuration Consultant,All India,3,3,14.3L,12.8L,17.0L,13.0L,12.9L,15.0L,16.2L,,,3,7,https://www.ambitionbox.com/salaries/clari-salaries/configuration-consultant
Clari,Configuration Consultant,Bangalore / Bengaluru (Karnataka),3,3,14.3L,12.8L,17.0L,13.0L,12.9L,15.0L,16.2L,,,3,7,https://www.ambitionbox.com/salaries/clari-salaries/configuration-consultant
Clari,Senior Software Test Engineer 2,All India,3,3,40.0L,36.0L,46.0L,40.0L,40.0L,40.0L,40.0L,,,9,9,https://www.ambitionbox.com/salaries/clari-salaries/senior-software-test-engineer-2
Clari,Senior Software Test Engineer 2,Bengaluru (Karnataka),3,3,40.0L,36.0L,46.0L,40.0L,40.0L,40.0L,40.0L,,,9,9,https://www.ambitionbox.com/salaries/clari-salaries/senior-software-test-engineer-2
Clari,Software Engineer Level 1,All India,2,2,16.5L,14.4L,18.4L,16.0L,15.5L,16.5L,16.8L,,,2,3,https://www.ambitionbox.com/salaries/clari-salaries/software-engineer-level-1
Clari,Software Engineer Level 1,Bengaluru (Karnataka),2,2,16.5L,14.4L,18.4L,16.0L,15.5L,16.5L,16.8L,,,2,3,https://www.ambitionbox.com/salaries/clari-salaries/software-engineer-level-1
Clari,Senior Data Scientist,All India,2,2,51.5L,47.5L,52.5L,50.0L,50.0L,50.0L,50.0L,,,6,6,https://www.ambitionbox.com/salaries/clari-salaries/senior-data-scientist
Clari,Product Marketing Specialist,All India,2,2,14.9L,13.1L,16.7L,14.5L,13.8L,15.2L,15.7L,,,2,3,https://www.ambitionbox.com/salaries/clari-salaries/product-marketing-specialist
Clari,Product Marketing Specialist,New Delhi (Delhi),1,2,14.9L,13.1L,16.7L,14.5L,13.8L,15.2L,15.7L,,,2,3,https://www.ambitionbox.com/salaries/clari-salaries/product-marketing-specialist
Clari,Finance Manager,All India,2,2,19.1L,16.6L,21.3L,18.5L,18.5L,18.5L,18.5L,,,3,4,https://www.ambitionbox.com/salaries/clari-salaries/finance-manager
Clari,Finance Manager,Bangalore / Bengaluru (Karnataka),2,2,19.1L,16.6L,21.3L,18.5L,18.5L,18.5L,18.5L,,,3,4,https://www.ambitionbox.com/salaries/clari-salaries/finance-manager
Clari,Senior Software Test Engineer,All India,2,2,41.7L,36.5L,46.6L,40.5L,40.2L,40.8L,40.9L,,,9,10,https://www.ambitionbox.com/salaries/clari-salaries/senior-software-test-engineer
Clari,Senior Software Test Engineer,Bengaluru (Karnataka),2,2,41.7L,36.5L,46.6L,40.5L,40.2L,40.8L,40.9L,,,9,10,https://www.ambitionbox.com/salaries/clari-salaries/senior-software-test-engineer
Clari,Senior Solution Consultant,All India,2,2,37.1L,32.4L,41.4L,36.0L,35.0L,37.0L,37.0L,,,0,10,https://www.ambitionbox.com/salaries/clari-salaries/senior-solution-consultant
Clari,Senior Solution Consultant,Bangalore / Bengaluru (Karnataka),2,2,37.1L,32.4L,41.4L,36.0L,35.0L,37.0L,37.0L,,,0,10,https://www.ambitionbox.com/salaries/clari-salaries/senior-solution-consultant
Clari,Principal Product Manager,All India,2,2,68.0L,62.7L,69.3L,66.0L,66.0L,66.0L,66.0L,,,16,17,https://www.ambitionbox.com/salaries/clari-salaries/principal-product-manager
Clari,Principal Product Manager,Bangalore / Bengaluru (Karnataka),2,2,68.0L,62.7L,69.3L,66.0L,66.0L,66.0L,66.0L,,,16,17,https://www.ambitionbox.com/salaries/clari-salaries/principal-product-manager
Clari,Senior Software Engineer Tester,All India,2,2,40.1L,35.1L,44.8L,39.0L,38.0L,39.9L,40.5L,,,8,9,https://www.ambitionbox.com/salaries/clari-salaries/senior-software-engineer-tester
Clari,Senior Software Engineer Tester,Bangalore / Bengaluru (Karnataka),2,2,40.1L,35.1L,44.8L,39.0L,38.0L,39.9L,40.5L,,,8,9,https://www.ambitionbox.com/salaries/clari-salaries/senior-software-engineer-tester
Clari,Senior Software Qa Testing Engineer,All India,2,2,36.0L,31.5L,40.2L,35.0L,32.5L,37.5L,39.0L,,,9,9,https://www.ambitionbox.com/salaries/clari-salaries/senior-software-qa-testing-engineer
Clari,Senior Software Qa Testing Engineer,Bengaluru (Karnataka),2,2,36.0L,31.5L,40.2L,35.0L,32.5L,37.5L,39.0L,,,9,9,https://www.ambitionbox.com/salaries/clari-salaries/senior-software-qa-testing-engineer
Clari,Senior Technical Support Manager,All India,2,2,64.4L,59.4L,65.6L,62.5L,62.5L,62.5L,62.5L,,,18,19,https://www.ambitionbox.com/salaries/clari-salaries/senior-technical-support-manager
Clari,Senior Technical Support Manager,Bangalore / Bengaluru (Karnataka),2,2,64.4L,59.4L,65.6L,62.5L,62.5L,62.5L,62.5L,,,18,19,https://www.ambitionbox.com/salaries/clari-salaries/senior-technical-support-manager
Clari,Software Test Engineer 2,All India,2,2,25.8L,22.5L,28.8L,25.0L,22.0L,28.0L,28.0L,,,0,5,https://www.ambitionbox.com/salaries/clari-salaries/software-test-engineer-2
Clari,Software Test Engineer 2,Bangalore / Bengaluru (Karnataka),2,2,25.8L,22.5L,28.8L,25.0L,22.0L,28.0L,28.0L,,,0,5,https://www.ambitionbox.com/salaries/clari-salaries/software-test-engineer-2
Clari,Data Scientist,All India,1,1,6.0L,5.2L,6.7L,5.8L,5.8L,5.8L,5.8L,,,3,3,https://www.ambitionbox.com/salaries/clari-salaries/data-scientist
Clari,Data Scientist,Pune (Maharashtra),1,1,6.0L,5.2L,6.7L,5.8L,5.8L,5.8L,5.8L,,,3,3,https://www.ambitionbox.com/salaries/clari-salaries/data-scientist
Cint,Project Manager,All India,11,11,11.2L,9.0L,15.2L,11.0L,9.0L,12.2L,13.5L,,,4,9,https://www.ambitionbox.com/salaries/cint-salaries/project-manager
Cint,Project Manager,Gurgaon / Gurugram (Haryana),5,11,11.2L,9.0L,15.2L,11.0L,9.0L,12.2L,13.5L,,,4,9,https://www.ambitionbox.com/salaries/cint-salaries/project-manager
Cint,Project Manager,Hyderabad / Secunderabad (Telangana),3,11,11.2L,9.0L,15.2L,11.0L,9.0L,12.2L,13.5L,,,4,9,https://www.ambitionbox.com/salaries/cint-salaries/project-manager
Cint,Project Manager,Bangalore / Bengaluru (Karnataka),3,11,11.2L,9.0L,15.2L,11.0L,9.0L,12.2L,13.5L,,,4,9,https://www.ambitionbox.com/salaries/cint-salaries/project-manager
Cint,Customer Success Representative,All India,9,9,10.4L,7.8L,14.2L,11.5L,6.8L,12.7L,14.6L,,,2,7,https://www.ambitionbox.com/salaries/cint-salaries/customer-success-representative
Cint,Customer Success Representative,Hyderabad / Secunderabad (Telangana),3,9,10.4L,7.8L,14.2L,11.5L,6.8L,12.7L,14.6L,,,2,7,https://www.ambitionbox.com/salaries/cint-salaries/customer-success-representative
