Company,Department,City,Role,Salary
3M,Engineering - Software & QA,Bengaluru,Technical Lead,₹26.5 L/yr - ₹36.7 L/yr
3M,Engineering - Software & QA,Bengaluru,Data Engineer,₹11.6 L/yr - ₹16.9 L/yr
3M,Engineering - Software & QA,Bengaluru,Senior QA Analyst,₹16.4 L/yr - ₹18.1 L/yr
3M,Engineering - Software & QA,Bengaluru,Mulesoft Developer,₹12.9 L/yr - ₹14.3 L/yr
3M,Engineering - Software & QA,Bengaluru,Lead Developer,₹31.6 L/yr - ₹34.9 L/yr
3M,Engineering - Software & QA,Bengaluru,Senior Database Engineer,₹25.2 L/yr - ₹27.9 L/yr
3M,Engineering - Software & QA,Bengaluru,Senior Mobile Application Developer,₹22.6 L/yr - ₹25 L/yr
3M,Engineering - Software & QA,Bengaluru,Advanced Engineer,₹20.7 L/yr - ₹28.2 L/yr
3M,Engineering - Software & QA,Bengaluru,Test Engineer,₹14.3 L/yr - ₹15.8 L/yr
3M,Engineering - Software & QA,Bengaluru,Application Specialist,₹11.6 L/yr - ₹12.8 L/yr
3M,Engineering - Software & QA,Bengaluru,Technical Architect,₹34.8 L/yr - ₹38.5 L/yr
3M,Engineering - Software & QA,Bengaluru,Data Integration Developer,₹15.3 L/yr - ₹20 L/yr
3M,Engineering - Software & QA,Bengaluru,Database Administrator Specialist,₹13.6 L/yr - ₹15 L/yr
3M,Engineering - Software & QA,Bengaluru,Power Apps Developer,₹18.7 L/yr - ₹20.7 L/yr
3M,Engineering - Software & QA,Bengaluru,Technology Analyst,₹15.7 L/yr - ₹17.4 L/yr
3M,Engineering - Software & QA,Bengaluru,QA Engineer,₹12.7 L/yr - ₹14.1 L/yr
3M,Engineering - Software & QA,Bengaluru,Senior Data Engineer,₹24 L/yr - ₹26.5 L/yr
3M,Engineering - Software & QA,Bengaluru,QA Lead,₹23 L/yr - ₹25.4 L/yr
3M,Engineering - Software & QA,Bengaluru,Devops Engineer,₹8.7 L/yr - ₹9.6 L/yr
3M,Engineering - Software & QA,Bengaluru,Mobile Application Developer,₹23.5 L/yr - ₹26 L/yr
3M,Engineering - Software & QA,Bengaluru,Advanced Software Engineer,₹22.6 L/yr - ₹24.9 L/yr
3M,Engineering - Software & QA,Bengaluru,Senior Software Engineer,₹28.1 L/yr - ₹34.8 L/yr
3M,Engineering - Software & QA,Bengaluru,Senior Engineer,₹29 L/yr - ₹32 L/yr
